ORDEN PLANEADO ,EXCLUIR CUENTA UNICA,EPICA,SDATOOL,FEATURE,DELIVERABLE,LINK JIRA,NOMBRE PROYECTO,DOMINIO,PROGRAMA,SPRINT (VP),TIER,PLAN(Portafolio),TAG (MP),TECNOLOGÍA,COMPLEJIDAD,GREMIO (DIRECCIÓN SYSTEM),DIRECCIÓN SYSTEM (4),PORTAFOLIO PLAN ASCENSO,PLAN MERCURIO,PLAN AREA REVIEW,COMITE (VP),DIRECCIÓN DE INGENIERIA,TIPOS DE MANTENIMIENTO,CATEGORIA DEL PROYECTO,TIPO (EMC-OTROS),EMC COMPROMETIDO,FECHA REPLANIFICACIÓN,FECHA REPLANIFICACIÓN 2,FECHA REPLANIFICACIÓN 3,MARCA REPLAN,MOTIVO REPLANIFICACIÓN,TIPO DE METODOLOGÍA,PROGRAM INCREMENT,TYPE OF DELIVERY,SERVICE OWNER,LIDER TECNICO,PROGRAM MANAGER,PO-OWNER,TECH MANAGER,ARQUITECTURA,CORPORATE SECURITY,TDM,TALENTO BBVA,TALENTO EXTERNO,RATIO STAFFING,"PRESUPUESTO
(PRESUPUESTADO) (Capex)","PRESUPUESTO
 (COMPROMETIDO)
(Capex)",PRESUPUESTO REALIZADO (Capex),PRESUPUESTO DISPONIBLE,PAYBACK,VALOR DE RETORNO,COMENTARIO SEGUIMIENTO,CREACION COMENTARIO,ACTUALIZACIÓN COMENTARIO,AVANCE REAL,AVANCE TEORICO,DESVIACIÓN,IMAGEN ESTADO,ESTADO,INDICADOR
426,PLANEADO,E2E-118891,37186,COLWSMONED-28,,https://globaldevtools.bbva.com/jira/browse/COLWSMONED-28,Integraciones Holding,CIB,5.Productos_CORE,,Tier 1,17.Otros,,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,CIB,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2022-Q4,Enabler Delivery,mairanela.ramirez.salazar,ivan.martinez,,juancamilo.mosquera,,,,,,,,,,,,,,El proyecto mantiene un avance real y esperado sobre el 44%. Se determina ampliar 2 semanas + las pruebas BUT en Murex y Dialogo. Se determina en conjunto con los usuarios avanzar 2 semanas + de pruebas BUT. El resultado a hoy es satisfactorio de cara al cliente.,28/04/2022,28/04/2022,,,,⬤,In Progress,1. A Tiempo
428,PLANEADO,E2E-75452,35776,COLWSMONED-29,,https://globaldevtools.bbva.com/jira/browse/COLWSMONED-29,Gestion de colaterales Colombia Initial Margin - Latam,CIB,7.Otros,,Tier 3,17.Otros,,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,CIB,1.Systems_Engineering,2.Proyecto,7.Otros,3.Otros,,,,,,,Unknown,2022-Q2,Enabler Delivery,mairanela.ramirez.salazar,alfredojose.pertuz,,juancamilo.mosquera,,,,,,,,,,,,,,"29/04/2022

	   Se realizó el miércoles 27 de abril junto con holding y AMH el inception del proyecto speedy para construir las colas MQ.




	   Se aprobó el desarrollo de la macro del PREI el cual inicia el lunes 2 de mayo

",29/04/2022,29/04/2022,,,,⬤,In Progress,1. A Tiempo
430,PLANEADO,E2E-65631,34598,COLWSMONED-32,,https://globaldevtools.bbva.com/jira/browse/COLWSMONED-32,Macros Procesos de Negocio Cierre_de_GAPs_ShadowIT_Macros_riesgo_medio,CIB,4.Transformación_de_la_Red,,Tier 3,17.Otros,,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Enabler Delivery,mairanela.ramirez.salazar,alfredojose.pertuz,,juancamilo.mosquera,,,,,,,,,,,,,,21/04/22: Se implementa control de seguridad y hoja de vida para los activos Riesgo cambiario MUREX y STAR; se entrega a usuarios. Se finaliza el proyecto de mitigaciones con un total de 18 ficheros mitigados.,22/04/2022,25/04/2022,,,,⬤,Deployed,1. A Tiempo
432,PLANEADO,E2E-120762,37342,COLWSMONED-42,,https://globaldevtools.bbva.com/jira/browse/COLWSMONED-42, ISO20022 BankTrade,Client Solutions,7.Otros,,Tier 2,,1.Normativo,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,7.Otros,3.Otros,,,,,,,Unknown,2022-Q4,Customer Delivery,martin.torres,martin.torres,,yeraldineandrea.sierra,,,,,,,,,,,,,,Sin Comentario,,13/04/2022,,,,⬤,New,Estado New
434,PLANEADO,E2E-77289,36008,COLWSMONED-5,,https://globaldevtools.bbva.com/jira/browse/COLWSMONED-5, SOFR Term (Módulo Cambiario),Client Solutions,,,Tier 2,,,,,,,,,,,,,,1.EMC,2021-Q4,,,,,,Unknown,2021-Q4,Enabler Delivery,martin.torres,martin.torres,,yeraldineandrea.sierra,,,,,,,,1Q,SYSTEMS, $28.158.957, $0,,,"Tema productivo, sin novedades.",31/03/2022,29/04/2022,,,,⬤,Deployed,1. A Tiempo
436,PLANEADO,E2E-65857,34651,COLWSNORMA-13,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-13,Circular 025 - Proyecto Datos Unificados,Regulation & Internal Control,6.Normativos,,Tier 3,8.Normativos,,Sin Dato,Sin dato,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Enabler Delivery,alcibiades.rodriguez,alcibiades.rodriguez,,diegofernando.uribe,,,,,,,,,,,,,,13/04/2022 - Aprobado para instalación el 22/04/2022,13/04/2022,28/04/2022,,,,⬤,Test,2. Atrasado
438,PLANEADO,E2E-15746,23176,COLWSNORMA-14,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-14,Formato 409 SFC “Desagregado de Sectorización de Principales Operaciones”,Finance,,,Tier 1,,,Ether,Alta,,,,,,,,,,1.EMC,2022-Q2,,,,,,Waterfall,2022-Q2,Customer Delivery,edwin.vargas,Unassigned,,martaelena.gomez,,,,,,,,1Q,SYSTEMS, $148.300.000, $0,,,Sin Comentario,,29/04/2022,,,,⬤,Test,1. A Tiempo
440,PLANEADO,E2E-145572,38931,COLWSNORMA-15,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-15,"38931 - Automatización formato 414 ""Tasas de interés activas por tipo de crédito""",Finance,,,Tier 1,,,,,,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Enabler Delivery,alcibiades.rodriguez,alcibiades.rodriguez,,martaelena.gomez,,,,,,,,,,,,,,Sin Comentario,,29/04/2022,,,,⬤,New,Estado New
442,PLANEADO,E2E-150997,39265,COLWSNORMA-16,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-16,Eliminar los Jobs y el archivo que realiza la comunicación con Swift,Regulation & Internal Control,,,Tier 2,17.Otros,,,,,,,,,,1.Systems_Engineering,2.Proyecto,1.Software_Aplicativo,1.EMC,2022-Q3,,,,,,Unknown,2022-Q3,Enabler Delivery,alcibiades.rodriguez,diegofernando.uribe,,diegofernando.uribe,,,,,,,,,,,,,,"Buen día, 

Después de haber asistido a reunión de entendimiento donde se expuso la iniciativa por parte  del Líder Técnico y el Product Owner la cual hace referencia a ""Eliminar los Jobs y el archivo que realiza la comunicación con Swift""

Informamos que desde Arquitectura no participamos, dado que:

    1. El requerimiento corresponde a un evolutivo a nivel del aplicativo y no implica cambios en arquitectura.
    2. No hay una modificación de conexiones entre los componentes involucrados de la actual arquitectura.
    3. La iniciativa corresponde a ajustes de desarrollo para el desmonte de la malla y el apagado del archivo que se remite a México.

Quedamos atentos a cualquier duda o comentario al respecto,",19/04/2022,26/04/2022,,,,⬤,New,Estado New
444,PLANEADO,E2E-61959,34151,COLWSNORMA-22,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-22,MODULO MENSAJERÍA,Regulation & Internal Control,,,Tier 2,,,,,,,,,,RIC,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Customer Delivery,alcibiades.rodriguez,alcibiades.rodriguez,,diegofernando.uribe,,,,,,,,1Q,SYSTEMS, $6.999.998, $0,,,13/04/2022 - En etapa de construcción sin impacto,13/04/2022,13/04/2022,,,,⬤,In Progress,1. A Tiempo
446,PLANEADO,E2E-33978,30527,COLWSNORMA-25,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-25,Proyecto Workday,Talent & Culture,,,Tier 1,,,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,Talento & Cultura,1.Systems_Engineering,2.Proyecto,,3.Otros,,14/03/2022,,,▶,Ente Externo,Unknown,2022-Q2,Customer Delivery,carlos.combita,carlos.combita,,lauracarolina.canizares,,,,,,,,,,,,,,13/04/2022:  Se avanza en las pruebas del 2do Paralelo Técnico de Nómina y en las pruebas del aplicativo de Incentivación variable en GRANNET de acuerdo con la planificación.   Se finaliza plan de despliegue del proyecto para iniciar el 22 de Abril de 2022.,13/04/2022,13/04/2022,,,,⬤,In Progress,2. Atrasado
448,PLANEADO,E2E-47670,32520,COLWSNORMA-26,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-26,Cross Domain Data-CDD,Finance,6.Normativos,,Tier 3,,,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2023-Q1,Enabler Delivery,edwin.vargas,alcibiades.rodriguez,,angelica.granados,,,,,,,,,,,,,,"-En este momemto estamos en el proceso para cumplir con hito de RORC..
-Se inicia proceso de Hito de IFRS9 (Cambio de Agujas)
El tema continúa en etapa de construcción sin impacto
Proyecto no requiere infraestructura ni perfilado",24/03/2022,29/03/2022,,,,⬤,In Progress,1. A Tiempo
450,PLANEADO,E2E-69886,35360,COLWSNORMA-27,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-27,Proyecto Pasivos PYMES y Plan 00 Activos para IFRS9,Finance,6.Normativos,,Tier 3,,,Hibrido,Baja,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,1/12/2021,,,▶,Certificación,Unknown,2022-Q1,Enabler Delivery,alcibiades.rodriguez,christian.diaz,,luzmarina.gutierrez,,,,,,,,,,,,,,Instalado el 18/02/2022. Pasa a post implantacion.,24/03/2022,29/03/2022,,,,⬤,Deployed,2. Atrasado
452,PLANEADO,E2E-69853,35357,COLWSNORMA-28,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-28,Alcance Proyecto CRS - Controling Person,Finance,6.Normativos,,Tier 3,,,Hibrido,Media,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,Financiera,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2022-Q2,Enabler Delivery,alcibiades.rodriguez,christian.diaz,,martha.reyes,,,,,,,,,,,,,,"16/03/2022:En construccion dentro de los tiempos establecidos
Alcance a proyecto GP17655 - Proyecto CRS",24/03/2022,29/03/2022,,,,⬤,In Progress,1. A Tiempo
454,PLANEADO,E2E-69853,35357,COLWSNORMA-29,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-29,Alcance Proyecto FATCA - Componentes Alta,Finance,6.Normativos,,Tier 3,,,Hibrido,Media,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,Financiera,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2022-Q2,Enabler Delivery,alcibiades.rodriguez,christian.diaz,,martha.reyes,,,,,,,,,,,,,,"23/02/2022:Alcance por proyecto instalado ""Alta de Cuentas por Netcash""
En tiempos segun el plan de trabajo",24/03/2022,29/03/2022,,,,⬤,In Progress,1. A Tiempo
456,PLANEADO,E2E-69886,35360,COLWSNORMA-30,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-30,Depuración de Información cruzada Aplicación,Finance,6.Normativos,,Tier 3,,,Hibrido,Baja,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,Aprobaciones,Unknown,2021-Q4,Enabler Delivery,alcibiades.rodriguez,christian.diaz,,luzmarina.gutierrez,,,,,,,,,,,,,,"01/03/2022:
-Atrasado por tema de contrato de soporte.
-En revision tecnica de scripts y pruebas en ambientes previos y productivos para revisar funcionalidad del aplicativo.
-En Revision con infraestructura por tema de nueva version de Oracle.",24/03/2022,29/03/2022,,,,⬤,In Progress,1. A Tiempo
458,PLANEADO,E2E-69853,35357,COLWSNORMA-31,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-31,"NUEVOS FORMATOS CERTIFICADOS OPERACIONES LEASING, HIPOTECARIOS Y LEASING HABITACIONAL",Finance,6.Normativos,,Tier 1,,,Hibrido,Media,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2021-Q4,Customer Delivery,alcibiades.rodriguez,christian.diaz,,martha.reyes,,,,,,,,,,,,,,"10/02/2022:
En Postimplantacion",24/03/2022,29/03/2022,,,,⬤,Deployed,1. A Tiempo
460,PLANEADO,E2E-105360,37010,COLWSNORMA-32,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-32,Valor Base Cargas Masivas Host,Finance,6.Normativos,,Tier 3,,,Ether,Baja,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,Financiera,1.Systems_Engineering,2.Proyecto,,3.Otros,,24/02/2022,,,▶,Tiene Fecha de Replanificacion Pero No motivo en Base DS ,Unknown,2022-Q2,Enabler Delivery,alcibiades.rodriguez,christian.diaz,,camila.nino,,,,,,,,,,,,,,"18/03/2022:
Se avanza en la fase de Certificacion del proyecto.
Se replanifica proyecto por lo siguiente:

	Durante la etapa de desarrollo el usuario definio un circuito para las pruebas las cuales debian ser revisadas primero por el PO del proyecto y luego por el usuario. El PO del proyecto es una persona nueva que debio capacitarse para realizar la revision de las pruebas. Esto genero impacto en las fechas de aproximadamente 2 semanas.
	Insumo necesario para pruebas (Carga Mssiva Especial) fue solicitado a mediados de Enero pero fue entregado la primera semana de Febrero (Impacto 2 semanas)

",24/03/2022,28/03/2022,,,,⬤,Test,2. Atrasado
462,PLANEADO,E2E-32669,29998,COLWSNORMA-33,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-33,Despliegue SAS AML en BBVA CO,Regulation & Internal Control,6.Normativos,,Tier 1,,,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,RIC,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2022-Q1,Enabler Delivery,alcibiades.rodriguez,alcibiades.rodriguez,,diegofernando.uribe,,,,,,,,,,,,,,13/04/2022 - Se avanza en la revisión por parte del usuario de las ingestas en datio a nivel productivo.,13/04/2022,13/04/2022,,,,⬤,Deployed,1. A Tiempo
464,PLANEADO,E2E-32669,29998,COLWSNORMA-34,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-34,Proyecto SAS AML - BBVA Colombia (Implementación Infraestructura),Regulation & Internal Control,6.Normativos,,Tier 1,,,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,RIC,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2023-Q1,Enabler Delivery,alcibiades.rodriguez,alcibiades.rodriguez,,diegofernando.uribe,,,,,,,,,,,,,,"13/04/2022


	A nivel de infraestructura ya se cuenta con las base de datos en los ambientes de desarrollo y calidad




	A nivel de contrato con Proveedor Capgemini se encuentra en este momento en revisión con el proveedor - Ya fue habilitado el usuario del proveedor




	Se encuentra en tramite lo correspondiente a la VPN, se esta validando el tema del Antivirus.




	En revisión del tema de Webseal por parte de los equipos de México para validar compatibilidades con el del aplicativo RBA

",13/04/2022,13/04/2022,,,,⬤,Analysing,1. A Tiempo
466,PLANEADO,E2E-69853,35357,COLWSNORMA-35,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-35,Evolutivo Parthnership - Crédito en punto de venta de Aliados,Finance,6.Normativos,,Tier 3,,,Hibrido,Media,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,Financiera,1.Systems_Engineering,2.Proyecto,,1.EMC,2022-Q1,20/02/2022,,,▶,Cliente - Definición,Unknown,2022-Q1,Enabler Delivery,alcibiades.rodriguez,christian.diaz,,martha.reyes,,,,,,,,,,,,,,"Instalado en produccion el 11/03/2022 - Pasa a Fase Post-Implantacion

Alerta en historias 3 por:

	Cuadre de ambiente de desarrollo
	Ajustes de software
	Reejecuciones
	Alcance a desarrollos por casuisitica nueva presentada en las pruebas
En este momento nos encontramos en validaciones funcionales en ambiente desarrollo por parte del usuario.
Plan de Choque: Data garantizada en Calidad para que en esta etapa podamos recuperar tiempos

",24/03/2022,29/03/2022,,,,⬤,Deployed,1. A Tiempo
468,PLANEADO,E2E-93517,36256,COLWSNORMA-36,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-36,Ev. 1799 - Ajuste tx ZFI261 para no afectación presupuestal en PEPs,Finance,6.Normativos,,Tier 3,8.Normativos,1.Normativo,Sin Dato,Sin dato,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,,1.EMC,2022-Q1,,,,,,Unknown,2022-Q1,Enabler Delivery,alcibiades.rodriguez,christian.diaz,,camila.nino,,,,,,,,,,,,,,"01/03/2022:Se empezó un plan de empalme para que Systems tome el control y seguimiento de los planes de trabajo de estos proyectos a partir del 14/02/2022

Como Delivery no participamos en los desarrollos, solo apoyamos en las pruebas en ambiente de desarrollo y calidad de la parte contable.
Los desarrollos los realiza GPS España, las fechas del plan de trabajo fueron suministradas por ellos",24/03/2022,28/03/2022,,,,⬤,Deployed,1. A Tiempo
470,PLANEADO,E2E-124997,37483,COLWSNORMA-37,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-37,Ajuste proceosos generacion MGS BASE,Finance,7.Otros,,Tier 3,,,Sin Dato,Sin dato,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,7.Otros,3.Otros,,,,,,,Unknown,2022-Q2,Enabler Delivery,alcibiades.rodriguez,christian.diaz,,dianapaola.angel,,,,,,,,,,,,,,13/01/2022:En desarrollo y pruebas funcionales.,24/03/2022,28/03/2022,,,,⬤,In Progress,1. A Tiempo
472,PLANEADO,E2E-69853,35357,COLWSNORMA-38,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-38,Reporte de cuentas canceladas,Finance,6.Normativos,,Tier 3,,,Hibrido,Media,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,Financiera,1.Systems_Engineering,2.Proyecto,,1.EMC,2022-Q1,16/02/2022,,,▶,Cambio de prioridad Usuario,Unknown,2022-Q1,Enabler Delivery,alcibiades.rodriguez,christian.diaz,,martha.reyes,,,,,,,,,,,,,,"Instalado en produccion el 11/03/2022 - Pasa a Fase Post-Implantacion

Alerta en historias 4 por:

	Cuadre de ambiente de desarrollo
	Ajustes de software
	Reejecuciones
	Alcance a desarrollos por casuisitica nueva presentada en las pruebas
En este momento nos encontramos en validaciones funcionales en ambiente desarrollo por parte del usuario.
Plan de Choque: Data garantizada en Calidad para que en esta etapa podamos recuperar tiempos

",24/03/2022,29/03/2022,,,,⬤,Deployed,2. Atrasado
474,PLANEADO,E2E-69853,35357,COLWSNORMA-39,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-39,Archivos de seguimiento y control reporte XML CRS,Finance,6.Normativos,,Tier 3,,,Hibrido,Media,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,Financiera,1.Systems_Engineering,2.Proyecto,,1.EMC,2022-Q1,20/02/2022,,,▶,Cambio de prioridad Usuario,Unknown,2022-Q1,Enabler Delivery,alcibiades.rodriguez,christian.diaz,,martha.reyes,,,,,,,,,,,,,,"Instalado en produccion el 11/03/2022 - Pasa a Fase Post-Implantacion

Alerta en historias 5 por:

	Cuadre de ambiente de desarrollo
	Ajustes de software
	Reejecuciones
	Alcance a desarrollos por casuisitica nueva presentada en las pruebas
En este momento nos encontramos en validaciones funcionales en ambiente desarrollo por parte del usuario.
Plan de Choque: Data garantizada en Calidad para que en esta etapa podamos recuperar tiempos

",24/03/2022,29/03/2022,,,,⬤,Deployed,2. Atrasado
476,PLANEADO,E2E-103624,36929,COLWSNORMA-40,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-40,Resolución 098 de 2020 DIAN - Reportes de Información Exogena,Finance,6.Normativos,,Tier 3,8.Normativos,1.Normativo,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2022-Q2,Enabler Delivery,alcibiades.rodriguez,christian.diaz,,martha.reyes,,,,,,,,,,,,,,"Se avanza en la fase de construccion, sin impacto.",24/03/2022,28/03/2022,,,,⬤,In Progress,2. Atrasado
478,PLANEADO,E2E-103624,36929,COLWSNORMA-41,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-41,"CFS-1039 - HU-10 Procesos batch de cargue, actualización y ajuste de rechazos en las tablas de movimientos, saldos, datos complementarios 5 y de rechazo",Finance,6.Normativos,,Tier 3,8.Normativos,1.Normativo,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2022-Q2,Enabler Delivery,alcibiades.rodriguez,christian.diaz,,martha.reyes,,,,,,,,,,,,,,"Se avanza en la fase de construccion, sin impacto.",24/03/2022,28/03/2022,,,,⬤,In Progress,1. A Tiempo
480,PLANEADO,E2E-103624,36929,COLWSNORMA-42,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-42,CFS-1040 - HU-3 Aprovisionamiento de la tabla SI1 con la información de los titulares al cierre de mes,Finance,6.Normativos,,Tier 3,8.Normativos,1.Normativo,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2022-Q2,Enabler Delivery,alcibiades.rodriguez,christian.diaz,,martha.reyes,,,,,,,,,,,,,,"Se avanza en la fase de construccion, sin impacto.",24/03/2022,21/04/2022,,,,⬤,In Progress,1. A Tiempo
482,PLANEADO,E2E-103624,36929,COLWSNORMA-43,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-43,CFS-1043 - HU-6 Incluir los Contracargos de TDD y TDC en el aprovisionamiento de la Tabla DC1 para la correcta generación del FORMATO 1024,Finance,6.Normativos,,Tier 3,8.Normativos,1.Normativo,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2022-Q3,Enabler Delivery,alcibiades.rodriguez,christian.diaz,,martha.reyes,,,,,,,,,,,,,,"Se avanza en la fase de construccion, sin impacto.",24/03/2022,28/03/2022,,,,⬤,In Progress,1. A Tiempo
484,PLANEADO,E2E-103624,36929,COLWSNORMA-44,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-44,"CFS-1048 - HU-11 Fechas de expedición de los Certificados Hipotecarios, Certificados de Leasing Habitacional Familiar y no Familiar y Certificados de Leasing Operacional",Finance,6.Normativos,,Tier 3,8.Normativos,1.Normativo,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2022-Q3,Enabler Delivery,alcibiades.rodriguez,christian.diaz,,martha.reyes,,,,,,,,,,,,,,"Se avanza en la fase de construccion, sin impacto.",24/03/2022,28/03/2022,,,,⬤,In Progress,1. A Tiempo
486,PLANEADO,E2E-103624,36929,COLWSNORMA-45,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-45,"CFS-1211 - HU-12 Ajustes de forma en los datos incluidos en la plantilla impresa del certificado tributario de Leasing Operacional, generado (impreso) desde Net Cash",Finance,6.Normativos,,Tier 3,8.Normativos,1.Normativo,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2022-Q3,Enabler Delivery,alcibiades.rodriguez,christian.diaz,,martha.reyes,,,,,,,,,,,,,,"Se avanza en la fase de construccion, sin impacto.",24/03/2022,28/03/2022,,,,⬤,In Progress,1. A Tiempo
488,PLANEADO,E2E-103624,36929,COLWSNORMA-46,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-46,CFS-1039 - HU-2 Asignación de titulares secundarios del backup de la tabla de personas a corte 31 de diciembre de cada año. Aprovisionamientos certificados CDTs,Finance,6.Normativos,,Tier 3,8.Normativos,1.Normativo,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2022-Q3,Enabler Delivery,alcibiades.rodriguez,christian.diaz,,martha.reyes,,,,,,,,,,,,,,"Se avanza en la fase de construccion, sin impacto.",24/03/2022,28/03/2022,,,,⬤,In Progress,1. A Tiempo
490,PLANEADO,E2E-103624,36929,COLWSNORMA-47,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-47,CFS-1044 - HU-7 Ajuste rechazos retención contingente y tarifa cuenta 251905113,Finance,6.Normativos,,Tier 3,8.Normativos,1.Normativo,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2022-Q3,Enabler Delivery,alcibiades.rodriguez,christian.diaz,,martha.reyes,,,,,,,,,,,,,,"Se avanza en la fase de construccion, sin impacto.",24/03/2022,28/03/2022,,,,⬤,In Progress,1. A Tiempo
492,PLANEADO,E2E-103624,36929,COLWSNORMA-48,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-48,CFS-1045 - HU-8 Identificación fiscal (Alfanumérico) cuando el cliente presenta proceso de refundidos,Finance,6.Normativos,,Tier 3,8.Normativos,1.Normativo,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2022-Q3,Enabler Delivery,alcibiades.rodriguez,christian.diaz,,martha.reyes,,,,,,,,,,,,,,"Se avanza en la fase de construccion, sin impacto.",24/03/2022,28/03/2022,,,,⬤,In Progress,1. A Tiempo
494,PLANEADO,E2E-103624,36929,COLWSNORMA-50,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-50,CFS-1042 - HU-5 Incluir los contracargos de TDD y TDC en el aprovisionamiento del valor base de los registros de Reteica almacenados en las tablas MI1 y RE2,Finance,6.Normativos,,Tier 3,8.Normativos,1.Normativo,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2022-Q3,Enabler Delivery,alcibiades.rodriguez,christian.diaz,,martha.reyes,,,,,,,,,,,,,,"Se avanza en la fase de construccion, sin impacto.",24/03/2022,28/03/2022,,,,⬤,In Progress,1. A Tiempo
496,PLANEADO,E2E-3941,9653,COLWSNORMA-54,,https://globaldevtools.bbva.com/jira/browse/COLWSNORMA-54,"Independización de granting ticket. RBA Arquitectura
",Regulation & Internal Control,,,Tier 3,,,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Waterfall,2022-Q2,Enabler Delivery,vm.jimenez,christian.diaz,,diegofernando.uribe,,,,,,,,,,,,,,13/04/2022 - Tema instalado el 07/04/2022,13/04/2022,29/04/2022,,,,⬤,Deployed,1. A Tiempo
